alim_code,name_fr,name_en,group_code,subgroup_code,subsubgroup_code,energy_kcal,energy_kj,protein_g,carbs_g,sugars_g,fat_g,saturated_fat_g,fibre_g,salt_g,water_g
12053,Fromage pour tartiflette (pâte molle et croûte mixte),"Cheese for tartiflette, soft with mixed rind, from cow's milk",05,0503,050301,320,1330,"19,8","0,72","0,72","26,4","18,5",< 1,"1,48",-
12054,"Spécialité fromagère non affinée en coque, enrichie en vitamines","Uncured soft cheese, spreadable, in a shell, fortified with vitamins, from cow's milk",05,0503,050305,242,999,"5,4","3,5",3,"22,9","15,7",0,"1,1",-
12059,"Brocciu ou brucciu corse, fromage à base de lactosérum de brebis et/ou de chèvre non affiné",Brocciu cheese from goat or ewe's whey,05,0503,050305,-,-,10,4,2,13,"9,2",0,"0,88",-
12060,"Fromage type feta, au lait de vache 100%","Feta-type cheese, 100% from cow's milk",05,0503,050305,273,1130,"15,1","1,22","0,84","22,6","14,1",0,"2,51","55,8"
12061,"Fromage type feta, au lait de brebis 100%","Feta or Feta-type cheese, 100% from ewe's milk",05,0503,050305,-,-,16,"0,83","0,83","21,8","15,1",0,"2,7","54,4"
12063,"Fromage type feta, au lait de vache 100%, à l'huile et aux aromates","Feta-type cheese, 100% from cow's milk, in oil and spices",05,0503,050305,283,1180,"17,3","0,16","< 0,2","23,4","13,2",0,"2,52","53,4"
12064,Boulette d'Avesne,Boulette d'Avesnes cheese from cow's milk,05,0503,050301,355,1470,"20,5",traces,traces,30,"19,8",0,"1,99","44,1"
12065,"Bouchée apéritive de fromage au lait de vache non affiné, fourrée ou enrobée","Finger-food cheese from cow's milk, filled or coated",05,0503,050305,274,1140,"11,1","2,92","1,7",24,"16,3",0,"1,63","58,9"
12066,"Feta, au lait de brebis 70% minimum et lait de chèvre 30% maximum","Feta cheese, 70% min. from ewe's milk, 30% min. from goat's milk",05,0503,050305,284,1180,"14,8","0,45",traces,"24,3","16,8","0,2","2,27","55,2"
12067,"Fromage type feta, au lait de vache 100%, à l'huile et aux aromates, égoutté","Feta-type cheese, 100% from cow's milk, in oil and spices, drained",05,0503,050305,-,-,"9,55","0,5","0,29","56,6","9,97","0,1","1,91",-
12068,"Fromage frais ou spécialité fromagère non affinée, nature, à tartiner, en barquette, non allégée en matière grasse","Uncured soft cheese, spreadable, plain, in tray, from cow's milk",05,0503,050305,225,931,"6,13","3,31","3,31","20,7",13,0,"0,9","67,8"
12069,"Fromage frais ou spécialité fromagère non affinée, nature, à tartiner, en barquette, allégée en matière grasse","Uncured soft cheese, spreadable, plain, in tray, reduced fat, from cow's milk",05,0503,050305,133,554,"10,6","5,12","4,79","7,48","4,94","0,25","0,92",74
12070,"Fromage frais ou spécialité fromagère non affinée, ail et fines herbes, à tartiner, non allégée en matière grasse","Uncured soft cheese, spreadable, flavoured with garlic and herbs), from cow's milk",05,0503,050305,320,1320,"7,87","2,7","2,34","30,8","20,2",0,"1,24","56,5"
12071,Brousse (fromage de brebis frais au lactosérum),Brousse (uncured cheese from ewes' milk),05,0503,050305,142,590,"9,19","4,81","4,81","9,36","5,7",0,"0,76","74,3"
12072,Burrata,"Burrata, from cow's milk",05,0503,050305,259,1070,"10,6","0,93","0,55","23,4","15,4",0,"0,53","63,2"
12073,"Fromage frais ou spécialité fromagère non affinée, olives, figues et noix, etc (autre que ail et fines herbes), à tartiner, non allégée en matière grasse","Uncured soft cheese, spreadable, flavoured, olives or fig and nuts (other than garlic and herbs), from cow's milk",05,0503,050305,-,-,"6,66","4,12","3,32","28,8","19,7","0,47","1,17","45,5"
12099,Emmental de Savoie ou emmenthal de Savoie,"Emmental cheese, from cow's milk, from Savoy",05,0503,050303,396,1650,"29,1",traces,"< 0,1","30,8","21,4",0,"0,26","34,9"
12100,Fromage à pâte pressée cuite (aliment moyen),Hard cheese (average),05,0503,050303,396,1640,"27,3","0,28","0,0031","31,6","20,7","0,0045","0,91","35,2"
12105,Beaufort,"Beaufort cheese, from cow's milk",05,0503,050303,404,1680,"26,1","0,72","0,1",33,"21,4","0,063","1,06","34,3"
12109,Cantal jeune,"Cantal cheese, not matured,  from cow's milk,",05,0503,050303,363,1510,"24,2",traces,0,"29,1","18,8",0,"1,81","40,6"
12110,Comté,"Comté cheese, from cow's milk",05,0503,050303,413,1710,"27,2",traces,0,"33,8","21,7",0,"0,84","33,2"
12111,Fromage à effilocher ou à dérouler,"Processed cheese, to unroll or to shred, from cow's milk",05,0503,050305,307,1280,"23,3","2,68","0,93","22,4","13,7",0,"1,66","46,5"
